name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Igrim Airport,IRM,RU,RU-KHM,,small_airport,no,63.200391,64.440136
Kondinskoye Airport,KXD,RU,RU-KHM,Kondinskoye,small_airport,no,59.655083,67.430046
Nyagan Airport,NYA,RU,RU-KHM,Nyagan,medium_airport,yes,62.110001,65.614998
Beloyarskiy Airport,EYK,RU,RU-KHM,,medium_airport,yes,63.686901,66.698601
Sovetskiy Airport,OVS,RU,RU-KHM,Sovetskiy,medium_airport,yes,61.326622009277344,63.60191345214844
Uray Airport,URJ,RU,RU-KHM,Uray,medium_airport,yes,60.103298,64.826698
Izhevsk Airport,IJK,RU,RU-UD,Izhevsk,medium_airport,yes,56.834524,53.462172
Pobedilovo Airport,KVX,RU,RU-KIR,Kirov,medium_airport,yes,58.503883,49.347831
Nadym Airport,NYM,RU,RU-YAN,Nadym,medium_airport,yes,65.48090362548828,72.69889831542969
Novy Urengoy Airport,NUX,RU,RU-YAN,Novy Urengoy,medium_airport,yes,66.06939697265625,76.52030181884766
Nizhnevartovsk Airport,NJC,RU,RU-KHM,Nizhnevartovsk,large_airport,yes,60.949299,76.483597
Perm International Airport,PEE,RU,RU-PER,Perm,large_airport,yes,57.914501,56.021198
Kogalym International Airport,KGP,RU,RU-KHM,Kogalym,medium_airport,yes,62.190399169921875,74.53379821777344
Nefteyugansk Airport,NFG,RU,RU-KHM,Nefteyugansk,medium_airport,yes,61.108299,72.650002
Noyabrsk Airport,NOJ,RU,RU-YAN,Noyabrsk,medium_airport,yes,63.18330001831055,75.2699966430664
Surgut International Airport,SGC,RU,RU-KHM,Surgut,large_airport,yes,61.340501,73.405782
Koltsovo Airport,SVX,RU,RU-SVE,Yekaterinburg,large_airport,yes,56.743099212646,60.802700042725
Tobolsk Remezov Airport,RMZ,RU,RU-TYU,Tobolsk,medium_airport,yes,58.059712,68.347997
Tobolsk Airport,TOX,RU,RU-TYU,Tobolsk,small_airport,no,58.135799,68.231903
Roshchino International Airport,TJM,RU,RU-TYU,Tyumen,large_airport,yes,57.178984,65.327696
Kurgan Airport,KRO,RU,RU-KGN,Kurgan,medium_airport,yes,55.4753,65.415604
